B7682	36.44583 	113.35528 
B7683	36.43667 	113.04861 
B7684	36.27861 	113.13944 
B7685	36.32361 	113.36278 
B7692	36.39417 	112.55444 
B7693	36.28444 	112.49750 
B7695	36.45139 	112.77444 
B7696	36.30917 	112.70722 
B7697	36.23750 	112.98556 
B7698	36.38111 	112.97556 
B7699	36.23861 	112.72389 
B7700	36.27833 	112.84611 
B7701	36.42556 	112.69833 
B7702	36.25056 	112.93389 
B7703	36.34944 	112.61333 
B7704	36.28611 	113.00306 
B7725	36.23500 	113.13500 
B7726	36.23056 	113.07056 
B7727	36.20250 	113.11750 
B7728	36.19222 	113.12361 
B7729	36.28278 	113.09222 
B7730	36.40667 	113.07333 
B7731	36.33750 	113.05361 
B7732	36.19278 	113.16222 
B7752	36.08167 	112.66639 
B7753	36.14556 	112.79500 
B7755	36.08444 	112.80278 
B7756	36.24472 	112.86139 
B7757	36.09639 	112.76917 
B7758	36.15833 	112.60278 
B7759	36.15111 	112.95278 
B7760	36.23417 	112.78417 
B7761	36.08472 	112.90889 
B7762	36.10083 	112.97722 
B7763	35.95389 	112.90028 
B7764	36.00472 	112.89472 
B7765	36.19194 	112.88028 
B7766	36.17889 	112.77472 
B7767	36.07472 	112.55667 
B7782	35.93889 	112.97000 
B7783	35.99528 	113.13306 
B7785	36.15917 	113.05889 
B7786	35.95833 	113.11917 
B7787	36.09583 	113.13944 
B7788	35.89694 	113.12250 
B7789	35.96972 	113.01639 
B7790	36.07722 	112.99806 
B7791	36.03000 	113.00167 
B7792	35.90139 	113.07278 
B7793	36.02861 	113.10278 
B7794	36.10139 	113.05222 
B7795	35.95333 	113.15500 
B7796	35.90806 	113.14333 
B7812	36.07250 	113.26694 
B7813	35.94306 	113.62944 
B7815	35.88389 	113.56250 
B7816	35.91722 	113.48861 
B7817	35.98889 	113.26611 
B7818	36.00389 	113.17694 
B7819	35.89000 	113.41583 
B7820	36.07167 	113.26694 
B7821	36.08056 	113.32944 
B7822	36.13889 	113.24306 
